epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1454.65,0.8524,0.45991,0.99673,0.98812,0.9619,0.98624,0.83724,0.64962,0.38517,0.88638,0.0011882,0.0011882,0.0011882
43,1486.38,0.82539,0.45427,0.99199,0.99178,0.97143,0.98613,0.83983,0.63648,0.37901,0.88579,0.0011684,0.0011684,0.0011684
44,1517.18,0.848,0.46503,1.00671,0.99508,0.97619,0.99364,0.83845,0.64476,0.36649,0.89528,0.0011486,0.0011486,0.0011486
45,1548.82,0.82454,0.45728,0.98898,0.98829,0.97143,0.98938,0.85179,0.61606,0.36135,0.88764,0.0011288,0.0011288,0.0011288
46,1579.88,0.8218,0.45624,0.98688,0.98562,0.9791,0.99342,0.85865,0.5947,0.38122,0.87359,0.001109,0.001109,0.001109
47,1611.57,0.81888,0.44402,0.98152,0.99269,0.96984,0.98698,0.84423,0.60966,0.36633,0.88223,0.0010892,0.0010892,0.0010892
48,1643.22,0.82289,0.4521,0.99743,0.98696,0.98095,0.99012,0.85226,0.6072,0.35198,0.88499,0.0010694,0.0010694,0.0010694
49,1674.41,0.82813,0.43977,0.98266,0.99127,0.97619,0.98915,0.84906,0.61239,0.37315,0.87807,0.0010496,0.0010496,0.0010496
50,1706.01,0.81051,0.44354,0.98067,0.99036,0.97836,0.98632,0.85076,0.62394,0.36285,0.87399,0.0010298,0.0010298,0.0010298
51,1736.3,0.8105,0.44098,0.981,0.98744,0.97619,0.9941,0.85861,0.59863,0.34444,0.87294,0.00101,0.00101,0.00101
52,1767.16,0.79738,0.43039,0.9811,0.99133,0.96667,0.9934,0.85204,0.60674,0.34477,0.87826,0.0009902,0.0009902,0.0009902
53,1798.09,0.80666,0.42287,0.97553,0.99106,0.97381,0.99316,0.85702,0.62476,0.34328,0.87457,0.0009704,0.0009704,0.0009704
54,1829.11,0.79757,0.43626,0.97196,0.97638,0.9881,0.99384,0.85954,0.60635,0.32981,0.87981,0.0009506,0.0009506,0.0009506
55,1860.43,0.7798,0.42855,0.96473,0.99274,0.97648,0.99221,0.84713,0.64049,0.36033,0.87643,0.0009308,0.0009308,0.0009308
56,1891.5,0.77764,0.41945,0.9632,0.98566,0.98159,0.9872,0.84832,0.59875,0.35319,0.86738,0.000911,0.000911,0.000911
57,1922.82,0.77576,0.42128,0.96345,0.98786,0.96837,0.98825,0.85103,0.60731,0.35453,0.87497,0.0008912,0.0008912,0.0008912
58,1954.39,0.78521,0.42823,0.98147,0.98797,0.9779,0.99382,0.86483,0.59329,0.33763,0.87437,0.0008714,0.0008714,0.0008714
59,1985.35,0.77031,0.41677,0.97102,0.98674,0.98095,0.99361,0.86072,0.61213,0.33614,0.87419,0.0008516,0.0008516,0.0008516
60,2016.4,0.78111,0.42203,0.9725,0.99179,0.96905,0.98957,0.84328,0.63771,0.35663,0.87955,0.0008318,0.0008318,0.0008318
61,2047.04,0.77678,0.41278,0.96927,0.98794,0.975,0.99246,0.85776,0.59087,0.33175,0.87127,0.000812,0.000812,0.000812
62,2078.81,0.77593,0.40798,0.97184,0.99512,0.97052,0.9939,0.85752,0.61479,0.33285,0.87215,0.0007922,0.0007922,0.0007922
63,2110.51,0.77318,0.41104,0.95828,0.99511,0.96843,0.99205,0.85645,0.61247,0.34633,0.86934,0.0007724,0.0007724,0.0007724
64,2141.91,0.75487,0.40222,0.96365,0.99275,0.97844,0.99414,0.86871,0.57707,0.32478,0.85866,0.0007526,0.0007526,0.0007526
65,2172.64,0.75127,0.39895,0.95457,0.99509,0.96487,0.993,0.84932,0.60548,0.33651,0.87178,0.0007328,0.0007328,0.0007328
66,2203.73,0.75544,0.40301,0.95619,0.98566,0.98192,0.99067,0.86183,0.58407,0.32814,0.86855,0.000713,0.000713,0.000713
67,2235.08,0.75527,0.40209,0.95964,0.99675,0.97619,0.99325,0.85685,0.61011,0.33602,0.87199,0.0006932,0.0006932,0.0006932
68,2265.96,0.74722,0.39358,0.95263,0.99029,0.97162,0.99417,0.8572,0.62636,0.32952,0.86793,0.0006734,0.0006734,0.0006734
69,2296.9,0.74484,0.39404,0.95598,0.99275,0.97764,0.99379,0.85478,0.58442,0.32365,0.86318,0.0006536,0.0006536,0.0006536
70,2329.97,0.75392,0.38873,0.95439,0.98455,0.97619,0.98765,0.85798,0.58266,0.33239,0.8615,0.0006338,0.0006338,0.0006338
71,2362.51,0.74855,0.38592,0.96039,0.98407,0.97857,0.98979,0.86081,0.59656,0.32813,0.86601,0.000614,0.000614,0.000614
72,2393.47,0.74923,0.38563,0.95991,0.99273,0.97494,0.99105,0.85471,0.59142,0.3259,0.86841,0.0005942,0.0005942,0.0005942
73,2424.54,0.72838,0.38536,0.94847,0.99449,0.96667,0.98971,0.85885,0.59699,0.32101,0.86102,0.0005744,0.0005744,0.0005744
74,2455.73,0.72603,0.37824,0.94855,0.98794,0.9751,0.993,0.85726,0.60001,0.32734,0.86561,0.0005546,0.0005546,0.0005546
75,2486.46,0.73101,0.37655,0.95101,0.99021,0.97381,0.99191,0.8545,0.59911,0.32757,0.8669,0.0005348,0.0005348,0.0005348
76,2517.55,0.72119,0.37679,0.94509,0.99031,0.97342,0.99323,0.85342,0.61345,0.32626,0.86799,0.000515,0.000515,0.000515
